DATAFLOW,LAST UPDATE,freq,unit,tra_meas,schedule,tra_cov,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2012-Q3,4580,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2012-Q4,4754.6,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2013-Q1,5139.7,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2013-Q2,4716.6,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2013-Q3,4359.7,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2013-Q4,5358.8,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2014-Q1,5682,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2014-Q2,5498.3,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2014-Q3,4973.9,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2014-Q4,6917.9,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2015-Q1,5449.4,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2015-Q2,8466.6,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2015-Q3,7044.8,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2015-Q4,10734.1,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2016-Q1,8014.3,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2016-Q2,7693.9,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2016-Q3,7599.5,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2016-Q4,9702,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2017-Q1,8271.4,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2017-Q2,8708.5,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2017-Q3,9412.4,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2017-Q4,8414.7,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2018-Q1,7200.6,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2018-Q2,7481.9,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2018-Q3,6691.2,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2018-Q4,8495.6,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2019-Q1,6986.6,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2019-Q2,7589.8,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2019-Q3,7052.9,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2019-Q4,7119.4,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2020-Q1,6667.6,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2020-Q2,4952.9,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2020-Q3,5973.4,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2020-Q4,8363.6,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2021-Q1,6132.1,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2021-Q2,7167.3,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2021-Q3,6267.7,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2021-Q4,6200.7,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2022-Q1,5504.9,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2022-Q2,10034.9,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2022-Q3,5286.6,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2022-Q4,5892.3,
