DATAFLOW,LAST UPDATE,freq,unit,tra_meas,tra_cov,schedule,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BA,2021-12,91398,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2019-01,2264061,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2019-02,2195772,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2019-03,2652471,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2019-04,3120842,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2019-05,3110135,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2019-06,3266073,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2019-07,3660942,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2019-08,3561906,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2019-09,3335969,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2019-10,3132803,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2019-11,2622544,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2019-12,2571961,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2020-01,2356798,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2020-02,2360471,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2020-03,1067318,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2020-04,17882,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2020-05,23217,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2020-06,109897,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2020-07,795949,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2020-08,938136,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2020-09,582576,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2020-10,475678,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2020-11,327523,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2020-12,466218,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2021-01,368966,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2021-02,192451,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2021-03,210012,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2021-04,303151,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2021-05,512422,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2021-06,930799,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2021-07,1886049,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2021-08,2132378,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2021-09,1925341,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2021-10,1946033,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2021-11,1679377,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2021-12,1429284,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2022-01,1172147,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2022-02,1298846,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2022-03,1746131,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2022-04,2343143,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2022-05,2560118,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2022-06,2569190,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2022-07,3214492,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2022-08,3136428,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2022-09,2911324,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2022-10,2733708,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2022-11,2150001,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2022-12,2139923,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2023-01,1994661,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2023-02,2002688,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2023-03,2347008,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2023-04,2750819,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2023-05,3013937,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2023-06,2912214,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2019-01,572595,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2019-02,537044,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2019-03,618879,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2019-04,678766,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2019-05,879835,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2019-06,1459266,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2019-07,1871688,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2019-08,1892362,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2019-09,1295432,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2019-10,718887,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2019-11,584328,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2019-12,633438,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2020-01,620442,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2020-02,596149,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2020-03,293343,
